stratum,ALNUsinu_less5,ALNUsinu_5to10,ALNUsinu_10to20,ALNUsinu_20to30,ALNUsinu_30to40,ALNUsinu_40to50,ALNUsinu_50to60,ALNUsinu_60to70,ALNUsinu_70to80,ALNUsinu_80up,ALNUtenu_less5,ALNUtenu_5to10,ALNUtenu_10to20,ALNUtenu_20to30,ALNUtenu_30to40,ALNUtenu_40to50,ALNUtenu_50to60,ALNUtenu_60to70,ALNUtenu_70to80,ALNUtenu_80up,BETUneoa_less5,BETUneoa_5to10,BETUneoa_10to20,BETUneoa_20to30,BETUneoa_30to40,BETUneoa_40to50,BETUneoa_50to60,BETUneoa_60to70,BETUneoa_70to80,BETUneoa_80up,LARIlari_less5,LARIlari_5to10,LARIlari_10to20,LARIlari_20to30,LARIlari_30to40,LARIlari_40to50,LARIlari_50to60,LARIlari_60to70,LARIlari_70to80,LARIlari_80up,PICEglau_less5,PICEglau_5to10,PICEglau_10to20,PICEglau_20to30,PICEglau_30to40,PICEglau_40to50,PICEglau_50to60,PICEglau_60to70,PICEglau_70to80,PICEglau_80up,PICEmari_less5,PICEmari_5to10,PICEmari_10to20,PICEmari_20to30,PICEmari_30to40,PICEmari_40to50,PICEmari_50to60,PICEmari_60to70,PICEmari_70to80,PICEmari_80up,POPUbals_less5,POPUbals_5to10,POPUbals_10to20,POPUbals_20to30,POPUbals_30to40,POPUbals_40to50,POPUbals_50to60,POPUbals_60to70,POPUbals_70to80,POPUbals_80up,POPUtrem_less5,POPUtrem_5to10,POPUtrem_10to20,POPUtrem_20to30,POPUtrem_30to40,POPUtrem_40to50,POPUtrem_50to60,POPUtrem_60to70,POPUtrem_70to80,POPUtrem_80up,SALIplan_less5,SALIplan_5to10,SALIplan_10to20,SALIplan_20to30,SALIplan_30to40,SALIplan_40to50,SALIplan_50to60,SALIplan_60to70,SALIplan_70to80,SALIplan_80up,SALIscou_less5,SALIscou_5to10,SALIscou_10to20,SALIscou_20to30,SALIscou_30to40,SALIscou_40to50,SALIscou_50to60,SALIscou_60to70,SALIscou_70to80,SALIscou_80up
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.195,81.543,29.652,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.882,521.381,432.425,190.267,59.304,9.884,2.471,0,0,0,66.717,74.13,7.413,0,0,0,0,0,0,0,12.355,12.355,7.413,2.471,0,0,0,0,0,0,0,2.471,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.601,27.181,17.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.14,971.103,469.49,74.13,14.826,0,0,0,0,0,61.775,234.745,37.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.826,12.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.237,1178.667,286.636,27.181,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.086,158.144,51.891,12.355,2.471,0,0,0,0,0,12.355,64.246,9.884,0,0,0,0,0,0,0,4.942,0,0,0,0,0,0,0,0,0,0,27.181,14.826,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.766,291.578,264.397,64.246,9.884,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.028,138.376,32.123,14.826,4.942,0,0,0,0,0,0,0,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.413,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.441,242.158,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.975,264.397,59.304,2.471,0,0,0,0,0,0,19.768,27.181,0,0,0,0,0,0,0,0,4.942,39.536,51.891,14.826,0,0,0,0,0,0,338.527,1188.551,340.998,39.536,9.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2718.1,887.089,51.891,9.884,9.884,0,0,0,0,0,340.998,93.898,0,0,0,0,0,0,0,0,0,143.318,4.942,0,0,0,0,0,0,0,155.673,1947.148,298.991,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.787,578.214,200.151,22.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.165,311.346,91.427,9.884,2.471,0,0,0,0,0,34.594,42.007,7.413,0,0,0,0,0,0,0,0,71.659,4.942,0,0,0,0,0,0,0,175.441,420.07,145.789,12.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.782,281.694,168.028,46.949,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.543,126.021,51.891,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.253,79.072,0,0,0,0,0,0,0,165.557,195.209,59.304,39.536,19.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.304,190.267,160.615,44.478,7.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.325,360.766,294.049,106.253,29.652,9.884,2.471,0,0,0,0,4.942,0,0,0,0,0,0,0,0,4.942,4.942,2.471,0,0,0,0,0,0,0,0,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.977,437.367,172.97,29.652,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.513,427.483,148.26,56.833,19.768,0,0,0,0,0,76.601,148.26,27.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.652,54.362,39.536,22.239,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.265,479.374,222.39,59.304,9.884,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.413,12.355,12.355,0,0,0,0,0,0,32.123,165.557,103.782,7.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.376,279.223,106.253,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.548,405.244,254.513,71.659,9.884,0,0,0,0,0,69.188,54.362,32.123,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.884,163.086,44.478,7.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.072,71.659,42.007,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.423,639.989,210.035,51.891,12.355,7.413,0,0,0,0,29.652,34.594,0,0,0,0,0,0,0,0,138.376,259.455,234.745,98.84,24.71,2.471,0,0,0,0,0,22.239,4.942,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.325,197.68,88.956,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.917,859.908,210.035,19.768,0,0,0,0,0,0,59.304,289.107,29.652,0,0,0,0,0,0,0,0,0,4.942,4.942,0,0,0,0,0,0,42.007,212.506,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057.588,637.518,12.355,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213.261,669.641,74.13,0,0,0,0,0,0,0,318.759,88.956,4.942,0,0,0,0,0,0,0,113.666,148.26,17.297,4.942,0,0,0,0,0,0,291.578,219.919,12.355,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.738,76.601,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.69,563.388,34.594,4.942,0,0,0,0,0,0,3256.778,721.532,7.413,0,0,0,0,0,0,0,0,9.884,4.942,0,0,0,0,0,0,0,56.833,44.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
